seed,family,depth,n_hot,p_cold,duty_spread,mean_duty,contested,n_2q,cut,f_2xSC,f_2xNA,f_SCNA,mk_2xSC,mk_2xNA,mk_SCNA,comm_2xSC,comm_2xNA,comm_SCNA,part_2xSC,part_2xNA,part_SCNA,best_homo,f_best_homo,mk_best_homo,rel_gain_pct,mk_ratio,mk_dominated,pareto_win,winner,liveness,idle_rate
59,hotcore,20,3,0.187,0.2265,0.3176,0,17,5,0.768257,0.765742,0.75482,3520.0,14000.0,6920.0,5,5,5,0|1|4|5,0|1|4|5,2|3|6|7,2xSC,0.768257,3520.0,-5.798,1.9659,0,0,2xSC,0.406250,0.593750
60,hotcore,20,4,0.12,0.2834,0.3822,0,28,6,0.688321,0.716784,0.756812,6060.0,18000.0,7900.0,6,6,6,0|2|5|7,0|2|5|7,0|2|5|7,2xNA,0.716784,18000.0,14.133,0.4389,0,1,SC+NA,0.500000,0.500000
61,hotcore,20,4,0.116,0.2493,0.3393,0,23,7,0.706055,0.693809,0.70354,4100.0,16500.0,8560.0,7,7,7,0|2|4|5,0|2|4|5,0|2|4|5,2xSC,0.706055,4100.0,-0.856,2.0878,0,0,2xSC,0.500000,0.500000
62,hotcore,20,3,0.043,0.2849,0.2692,0,18,3,0.796122,0.814141,0.828076,4120.0,17500.0,6580.0,3,3,3,0|1|3|4,0|1|3|6,2|5|6|7,2xNA,0.814141,17500.0,7.497,0.376,0,1,SC+NA,0.425000,0.575000
63,hotcore,20,4,0.066,0.2861,0.3255,0,22,3,0.775191,0.783706,0.807921,5500.0,18500.0,7660.0,3,3,3,0|1|3|5,0|1|3|5,0|1|3|5,2xNA,0.783706,18500.0,11.195,0.4141,0,1,SC+NA,0.487500,0.512500
64,hotcore,20,5,0.13,0.2763,0.4509,1,33,12,0.569074,0.580835,0.577577,7040.0,19000.0,13800.0,12,12,12,0|2|4|6,0|2|4|6,0|2|4|6,2xNA,0.580835,19000.0,-0.777,0.7263,0,0,2xNA,0.593750,0.406250
65,hotcore,20,4,0.065,0.2863,0.3273,0,21,3,0.794868,0.792374,0.822236,4700.0,17000.0,7100.0,3,3,3,0|1|2|5,0|1|2|5,3|4|6|7,2xSC,0.794868,4700.0,13.342,1.5106,1,0,SC+NA,0.468750,0.531250
66,hotcore,20,4,0.093,0.2756,0.2914,0,18,1,0.77639,0.854171,0.86219,6420.0,16000.0,7220.0,1,1,1,0|2|4|7,0|2|4|7,0|2|4|7,2xNA,0.854171,16000.0,5.499,0.4512,0,1,SC+NA,0.350000,0.650000
67,hotcore,20,4,0.156,0.2347,0.3834,0,23,8,0.644635,0.679651,0.665658,3680.0,17000.0,9940.0,10,8,8,0|1|5|7,0|1|2|6,3|4|5|7,2xNA,0.679651,17000.0,-4.368,0.5847,0,0,2xNA,0.556250,0.443750
68,hotcore,20,5,0.189,0.2208,0.4195,1,30,13,0.564164,0.550213,0.526484,4360.0,18500.0,14420.0,13,13,13,0|2|3|7,0|2|3|7,1|3|4|6,2xSC,0.564164,4360.0,-8.645,3.3073,0,0,2xSC,0.631250,0.368750
